"ตารางราคากระบอกน้ำพลาสติก
อัพเดท 22/5/67
เคสไหนด่วน เพิ่มชิ้นละ20-30บาท สาเหตุที่เพิ่มเพราะบางทีไม่ทันต้องทำ OT ค่ะ",,,,,,,,,,,,,,,,
NO,รหัสสินค้า,รูปภาพ,รายละเอียด,จำนวน,,,,,บรรจุภัณฑ์,,,,รูปแบบโลโก้,,,ข้อจำกัด 
,,,,20,20-99 ชิ้น,100-300,301-500,501-1000,กล่องแป้งขาว,กล่องลูกฟูกสีขาว,ถุง OPP,ถุงผ้า,สกรีน,Print ,Uv print,
1,"PL-01
STOCK",,"กระบอกน้ำพลาสติก : PL-01
รหัสสินค้า : PL-01
ขนาด : 70*200 mm
ความจุ : 500 ml
น้ำหนัก : 160 g
สี : ดำ ,เขียว,ม่วง,ส้ม
วัสดุ : plastic (PC)
บรรจุภัณฑ์ : ถุง opp 1:1
ผลิตขั้นต่ำ : 20 ชิ้น
ระยะเวลาการผลิต 7-10 วัน",,75,58,55,53,NO,NO,FREE,NO,,,,
2,PL-02,,"รหัสสินค้า PL-02
ขนาด 19.5 x 6.5 x 5 cm.
ปริมาตร 500 ML
วัสดุ AS/PC
สี สีเขียว , สีฟ้า , สีชมพู , สีขาว , สีดำ
ผลิตขั้นต่ำ 100 ชิ้น
ระยะเวลาในการผลิต 7-10 วัน
บรรจุภัณฑ์ กล่องกระดาษ 1:1",,55,45,42,39,NO,NO,FREE,10,"H สูงไม่เกิน 110 mm.
W กว้าง ไม่เกิน 175 mm.
",NO,Full Area,
3,"PL-07
STOCK",,"รหัสสินค้า:PL-07
ขนาด : 21*7 CM
น้ำหนัก : 90.4 g
ความจุปริมาตร : 600 ML
สี : ครีม，เหลือง，ฟ้าน้ำทะเล,ชมพู
วัสดุ : plastic (PC)
บรรจุภัณฑ์ : ถุง opp 1:1
ผลิตขั้นต่ำ : 20 ชิ้น
ระยะเวลาการผลิต 7-10 วัน

รูปแบบโลโก้ : silk screen / uv print / UV DTF
Graphic Design : บริการวางแบบฟรี!",,69,53,49,48,NO,NO,FREE,NO,,,,CN-036
4,"PL-14
STOCK",,"กระบอกน้ำพลาสติก :PL-14 STOCK
รหัสสินค้า:PL-14
ขนาด : 19*7 CM
น้ำหนัก : 105.1 g
ความจุปริมาตร : 640 ML
สี : ส้ม,ม่วง,ดำ,เหลือง
วัสดุ : plastic (PC)
บรรจุภัณฑ์ : ถุง opp 1:1
ผลิตขั้นต่ำ : 20 ชิ้น
ระยะเวลาการผลิต 7-10 วัน

รูปแบบโลโก้ : silk screen / uv print / UV DTF
Graphic Design : บริการวางแบบฟรี!",,75,55,53,49,NO,NO,FREE,NO,,,,CN-036
5,"PL-12
STOCK
มี มอก.",,"รหัสสินค้า : PL-12
ปริมาตร : 800 ML
ขนาด : 10*7*21 CM
น้ำหนัก : 225 g
สี : ขาว,ดำ,แดง,ฟ้า STOCK
วัสดุ : PP เกรด A
คุณสมบัติ : แก้วน้ำ 2 ชั้น พลาสติก PP ได้รับมาตรฐาน มอก.
สามารถเก็บอุณหภูมิได้ : 3-4 ชั่วโมง
บรรจุภัณฑ์ : ถุง opp 1:1
ระยะเวลาการผลิต : 7-10 วัน
ผลิตขั้นต่ำ : สีที่ (STOCK) ขั้นต่ำ 20 ชิ้น
                 : สีอื่นๆ (Pre Order) ขั้นต่ำ 1000 ชิ้น
รูปแบบโลโก้ : Silk Screen
Graphic Design : บริการวางแบบฟรี!",,79,69,67,65,NO,NO,FREE,NO,ขนาดโลโก้ได้ไม่เกิน 60 x 65 มม.,,,TH-013
6,PL-16,,"รหัสสินค้า PL-16
ขนาด 20 x 7.3 cm.
ปริมาตร 650 ML
วัสดุ PC
สี สีฟ้า , สีเทา
ผลิตขั้นต่ำ 100 ชิ้น
ระยะเวลาในการผลิต 10-15 วัน
บรรจุภัณฑ์ กล่องกระดาษ",,85,65,64,63,NO,FREE,NO,NO,"H สูงไม่เกิน 80 mm.
W กว้าง ไม่เกิน 200 mm.
",NO,NO,"วัดจากก้นกระบอกน้ำ
 ระวังมุมเว้าของกระบอกน้ำ"
8,PL-22,,"รหัสสินค้า PL-22
ขนาด 11.5 x 7 cm.
ปริมาตร 600 ML
วัสดุ PC
สี สีฟ้า , สีเทา , สีน้ำตาล , สีเขียว
ผลิตขั้นต่ำ 100 ชิ้น
ระยะเวลาในการผลิต 10-15 วัน
บรรจุภัณฑ์ กล่องกระดาษ",,88,68,67,65,NO,FREE,NO,NO,"H สูงไม่เกิน 110 mm.
W กว้าง ไม่เกิน 195 mm.
",NO,NO,
9,"PL-24
",,"รหัสสินค้า PL-24
ขนาด 15.5 x 26 x 6.5 cm.
ปริมาตร 450 ML
วัสดุ PC
สี ใส
ผลิตขั้นต่ำ 100 ชิ้น
ระยะเวลาในการผลิต 10-15 วัน
บรรจุภัณฑ์ กล่องกระดาษ",,95,75.-,73.-,70.-,NO,FREE,NO,NO,"H สูงไม่เกิน 110 mm.
W กว้าง ไม่เกิน 230 mm.
",NO,NO,
11,"PL-28
(16 OZ)",,"รหัสสินค้า : PL-28 (16oz.)
ขนาด :  WxH 12.5 x 10.5 cm
ปริมาณบรรจุ : 480 ML / 16 oz
น้ำหนัก : 54 กรัม
สี : ชมพู / ฟ้า / ส้ม / เขียวมิ้น / เขียว
วัสดุ : Plastic PP (Polypropylene)
บรรจุภัณฑ์ : ถุง OPP
ผลิตขั้นต่ำ : 100 ชิ้น
ระยะเวลาในการผลิต : 15-20 วัน
Graphic Design : บริการออกแบบฟรี
คุณสมบัติพิเศษ : เมื่อใส่น้ำเย็นลงไปจะเปลื่ยนสี
บรรจุภัณฑ์ : ถุง opp",,NO,"ใบละ
59


แบบ SET
249","ใบละ
55


แบบ SET
245","ใบละ
53


แบบ SET
240",NO,NO,FREE,NO,ถามกราฟฟิก,ถามกราฟฟิก,NO,
12,"PL-28
(24 OZ)",,"กระบอกน้ำพลาสติก PL-28 (L) (เปลี่ยนสีได้)
รหัสสินค้า : PL-28(24oz.)
ขนาด : WxH 17.7 x 10.5 cm
ปริมาณบรรจุ : 680 ML / 24 oz
น้ำหนัก : 60 กรัม
สี : ชมพู / ฟ้า / ส้ม / เหลือง /เขียว
วัสดุ : Plastic PP (Polypropylene)
ผลิตขั้นต่ำ : 100 ชิ้น
ระยะเวลาในการผลิต : 15-20 วัน
Graphic Design : บริการออกแบบฟรี
คุณสมบัติพิเศษ : เมื่อใส่น้ำเย็นลงไปจะเปลื่ยนสี",,NO,"ใบละ
65



แบบ SET
265","ใบละ
63



แบบ SET
259","ใบละ
59



แบบ SET
255",NO,NO,FREE,NO,ถามกราฟฟิก,ถามกราฟฟิก,NO,
