"ตารางราคาแทนชาร์จโทรศัพท์
ราคาอัพเดท 4/7/2025
เคสไหนด่วน เพิ่มชิ้นละ20-30บาท สาเหตุที่เพิ่มเพราะบางทีไม่ทันต้องทำ OT ค่ะ",,,,,,,,,,,,
ลำดับ,รหัสสินค้า,รูปภาพ,รายละเอียด,จำนวน,,,,บรรจุภัณฑ์,รูปแบบโลโก้,,,ข้อจำกัด 
,,,,100,300,500,1000,กล่อง,สกรีน ,DTF,UV PRINY,
1,WLC-01,,"รายละเอียดสินค้า
รหัสสินค้า : WLC-01 แท่นชาร์จโทรศัพท์
ขนาด : 111*87*70 mm.
น้ำหนัก : 80 g. 
วัสดุ : ABS
Power : 5W / 10W / 15W
อินพุต : 5V/2A  9V/2A
เอาต์พุต : 5V / 7.5W / 10W / 15W
สี : ดำ 
อุปกรณ์ในกล่อง : สายชาร์จ USB Type-C
บรรจุภัณฑ์ : กล่องกระดาษสีน้ำตาล
ร้านรับประกัน 1 ปี ในกรณีสินค้าไม่สามารถใช้งานได้จากระบบ
ขั้นต่ำการผลิต : 100 ชิ้น
ระยะเวลาการผลิต : 25-30 วัน
","10W 159 บาท
15 W 169 บาท
","10W 157 บาท
15 W 167 บาท
","10W 155 บาท
15 W 165 บาท
","10W 153 บาท
15 W 163 บาท
",กล่องกระดาษสีน้ำตาล,CAN,CAN,CAN,CN-001
2,WLC-02,,"รายละเอียดสินค้า
รหัสสินค้า : WLC-02 แท่นชาร์จโทรศัพท์
ขนาด : 91*91*9 mm.
น้ำหนัก : 60 g. 
วัสดุ : ไม้ไผ่ธรรมชาติ
Power : 5W / 10W / 15W
อินพุต : 5V/2A  9V/2A
เอาต์พุต : 5V / 7.5W / 10W / 15W
สี : ไม้ไผ่
คุณสมบัติ : ไฟ LED แสดงโลโก้
อุปกรณ์ในกล่อง : สายชาร์จ USB Type-C
บรรจุภัณฑ์ : กล่องกระดาษสีน้ำตาล
ร้านรับประกัน 1 ปี ในกรณีสินค้าไม่สามารถใช้งานได้จากระบบ
ขั้นต่ำการผลิต : 100 ชิ้น
ระยะเวลาการผลิต : 25 - 30 วัน
เปลี่ยนไฟได้ ขาว/เขียว/ฟ้า/ แดง","10W 169 บาท
 15W 175 บาท""","10W 167 บาท
 15W 173 บาท""","10W 165 บาท
 15W 171 บาท""","10W 163 บาท
 15W 169 บาท""",กล่องกระดาษสีน้ำตาล,CAN,CAN,CAN,"CN-001
โลโก้ LED สามารถเลือกสีไฟได้
ขาว/เขียว/ฟ้า/แดง"
3,WLC-03,,"รายละเอียดสินค้า
รหัสสินค้า : WLC-04 แท่นชาร์จโทรศัพท์
ขนาด : 92*92*8 mm.
น้ำหนัก : 40 g. 
วัสดุ : ไม้ไผ่ธรรมชาติ
Power : 5W / 10W / 15W
อินพุต : 5V/2A  9V/2A
เอาต์พุต : 5V / 7.5W / 10W / 15W
สี : ไม้ไผ่
อุปกรณ์ในกล่อง : สายชาร์จ USB Type-C
บรรจุภัณฑ์ : กล่องกระดาษสีน้ำตาล
ร้านรับประกัน 1 ปี ในกรณีสินค้าไม่สามารถใช้งานได้จากระบบ
ขั้นต่ำการผลิต : 100 ชิ้น
ระยะเวลาการผลิต : 25 - 30 วัน
","10W 139 บาท
15 W 145 บาท","10W 137 บาท
15 W 143 บาท","10W 135 บาท
15 W 141 บาท","10W 133 บาท
15 W 139 บาท",กล่องกระดาษสีน้ำตาล,CAN,CAN,CAN,CN-001
4,WLC-01,,"รายละเอียดสินค้า
รหัสสินค้า : WLC-04 แท่นชาร์จโทรศัพท์
ขนาด : 92*92*8 mm.
น้ำหนัก : 40 g. 
วัสดุ : ไม้ไผ่ธรรมชาติ
Power : 5W / 10W / 15W
อินพุต : 5V/2A  9V/2A
เอาต์พุต : 5V / 7.5W / 10W / 15W
สี : ไม้ไผ่
อุปกรณ์ในกล่อง : สายชาร์จ USB Type-C
บรรจุภัณฑ์ : กล่องกระดาษสีน้ำตาล
ร้านรับประกัน 1 ปี ในกรณีสินค้าไม่สามารถใช้งานได้จากระบบ
ขั้นต่ำการผลิต : 100 ชิ้น
ระยะเวลาการผลิต : 25 - 30 วัน
","10w 139 บาท
15w 145 บาท","10W 137 บาท
15 W 143 บาท","10W 135 บาท
15 W 141 บาท","10W 133 บาท
15 W 139 บาท",กล่องกระดาษสีน้ำตาล,CAN,CAN,CAN,CN-001
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
***  หมายเหตุ  :  ราคาที่เสนอรวมทำโลโก้  1 สี 1 จุดแล้วค่ะ / เลเซอร์ ได้ 1 จุดค่ะ ,,,,,,,,,,,,
,"ขั้นต่ำในการผลิต  100 ค่ะ
ราคาโลโก้ (กรณีมีการทำโลโก้เพิ่ม)
1.โลโก้สกรีน มากกว่า 1 สี เพิ่มสีละ ...
จำนวน 100 - 200 Pcs เพิ่ม 10 บาท/ 1 Pcs 
จำนวน 300 - 400 Pcs เพิ่ม 10 บาท / 1 Pcs 
จำนวน 500 - 1000 Pcs เพิ่ม 10 บาท / 1 Pcs ",,,,,,,,,,,
