"ตารางราคาแฟลชไดร์ฟ
อัพเดท 26/9/67
เคสไหนด่วน เพิ่มชิ้นละ20-30บาท สาเหตุที่เพิ่มเพราะบางทีไม่ทันต้องทำ OT ค่ะ",,,,,,,,,,,,,,,,,
NO,รหัสสินค้า,รูปภาพ,รายละเอียด,ความจุ,จำนวน,,,บรรจุภัณฑ์,,,,,รูปแบบโลโก้,,,,ข้อจำกัด 
,,,,,100-499,500 - 1000,1500+,"กล่อง
กระดาษ","BOX 02 
กล่องโลหะ
เล็กหน้าต่าง","BOX 09 
กล่องพลาสติก 
มาตรฐาน","BOX 10 
กล่องพลาสติก
การ์ด","BOX 16 
กล่องไม้",สกรีน,เลเซอร์,Uv print,Print,
1,UC-01,,"แฟลชไดรฟ์ การ์ด : UC-01
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ผลิต: 1-2 วัน
รับประกันชิป : 5 ปี
วัสดุ: พลาสติก
ขนาด: 85 x 55 x 2.5 mm.
สี : สีพื้น ขาว
โลโก้ : Silk Screen / Full Color Printing
ความเร็ว : อ่าน 10-22MB / เขียน 3-10MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,95,89,ถามจัดซื้อ,NO,NO,NO,"FREE
Box -11",NO,"H สูงไม่เกิน 52 mm.
W กว้างไม่เกิน 85 mm.",NO,"H สูงไม่เกิน 52 mm.
W กว้างไม่เกิน 85 mm.","H สูงไม่เกิน 52 mm.
W กว้างไม่เกิน 85 mm.",Full สกรีน เต็มการ์ดได้
,,,,16 GB .,100,95,ถามจัดซื้อ,,,,,,,,,,
,,,,32 GB.,125,120,ถามจัดซื้อ,,,,,,,,,,
,,,,64 GB.,ถามจัดซื้อ,ถามจัดซื้อ,ถามจัดซื้อ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,UC-06,,"รหัสแฟลชไดรฟ์ : UC-06
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต: 15-20 วัน
รับประกันชิป : 5 ปี
วัสดุ: พลาสติก
ขนาด: 85 x 55 x 2.5 mm.
สี : สีพื้น ขาว
โลโก้ : Silk Screen / UV Print
ความเร็ว : อ่าน 10-22MB / เขียน 3-10MB
ความจุ : 2 GB / 4 GB / 8 GB / 16 GB / 32 GB",8 GB.,95,89,ถามจัดซื้อ,NO,NO,NO,"FREE
Box -10",NO,"H สูงไม่เกิน 52 mm.
W กว้างไม่เกิน 85 mm.",NO,"H สูงไม่เกิน 52 mm.
W กว้างไม่เกิน 85 mm.","H สูงไม่เกิน 52 mm.
W กว้างไม่เกิน 85 mm.",Full สกรีน เต็มการ์ดได้
,,,,16 GB .,100,95,ถามจัดซื้อ,,,,,,,,,,
