"  ตารางราคา powerbank
อัพเดท17/7/66
เคสไหนด่วน เพิ่มชิ้นละ20-30บาท สาเหตุที่เพิ่มเพราะบางทีไม่ทันต้องทำ OT ค่ะ",,,,,,,,,,,,
NO,รหัสสินค้า,รูปภาพ,รายละเอียด,จำนวน,,,บรรจุภัณฑ์,,รูปแบบโลโก้,,,ข้อจำกัด 
,,,,100-500,501-1000,1000+,"กล่องตาม
โรงงาน","กล่องกระดาษขาว
BOX-07",สกรีน ,Uv print,เลเซอร์,
1,E 12 ,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 11000 mAh Li-Polymer battery
- Input current: 5.0V 1A
- ช่อง USB Output 1 & 2: 5V 1A (max) & 5V 2.1A (max)
- Standby time: >5,000 ชั่วโมง
- ระยะเวลาในการชาร์จ: 10 ชั่วโมง
- น้ำหนัก 205 กรัม
- ขนาด: 123 (ยาว) x 75 (กว้าง) x 14.3 (หนา) mm
- สี เขียว เหลือง

คุณลักษณะพิเศษ:
- ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน
- รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port
- ไฟ LED แสดงสถานะของพลังงานที่เหลืออยู่ และสามารถดูได้ในที่มืด
- ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS

ในกล่องประกอบไปด้วย:
- Power bank 11000 mAh
- ซองใส่ Power bank
- สาย Micro USB cable
- คู่มือการใช้งาน",480,,,ฟรี,บวกเพิ่ม 10 บาท,no,can,no,
2,"E 12
PRO",,"ข้อมูลทางเทคนิค
- Input : DC 5V - 2A
- Output 1 : DC 5V - 1A
- Output 2 : DC 5V - 2.1A
- ความจุแบตเตอรี่ : 11000 mAh
- ชนิดแบตเตอรี่ : Li-Polymer
- เวลาที่ใช้ชาร์จแบตสำรอง (Charging Time) : 11 ชั่วโมง (โดย Adapter 5V 1A)
- ขนาด : 150 (ยาว) x 85 (กว้าง) x 5 (หนา) mm 
- หนัก 290 กรัม 
- สี  ดำ ดำไม้  น้ำตาลไม้

คุณสมบัติ
- แบตเตอรี่สำรองความจุ 11000 mAh
- รองรับการรีชาร์จให้สมาร์ทโฟนและแท็บเล็ตผ่านพอร์ต USB กระแสไฟสูงสุด 2.1A
- ช่องพอร์ต USB 2 ช่อง สามารถรีชาร์จอุปกรณ์ได้พร้อมกัน 2 เครื่องในเวลาเดียวกัน 
- มีไฟ LED แสดงสถานะการทำงานและปริมาณความจุของแบตเตอรี่สำรอง
- วัสดุทำจากพลาสติกผิวด้านทำสี สวยงาม ทนทาน
- ได้รับมาตรฐานสากล CE, FCC, RoHS

ในกล่องประกอบไปด้วย:
- แบตเตอรี่สำรอง Eloop (11000 mAh) รุ่น E12
- สายชาร์จ 
- ซองผ้ากำมะหยี่กันรอย
- คู่มือการใช้งาน
",610,,,ฟรี,NO,no,can,no,
4,"E-14 
PRO",,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 20000mAh Li-Polymer battery 
- INTPUT TYPE C : 9V-2.22A
- OUTPUT USB-A 1/2 : 9V-2A
- OUTPUT TYPE C : 9V-2.22A
- ระยะเวลาในการชาร์จ: 6 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter & สายชาร์จที่ใช้)
- น้ำหนักผลิตภัณฑ์ 406 กรัม
- น้ำหนักผลิตภัณฑ์ & แพ็คเกจ 560 กรัม
- ขนาดผลิตภัณฑ์: 160 (ยาว) x 101 (กว้าง) x 13 (หนา) mm   
- ขนาดผลิตภัณฑ์ & แพ็คเกจ: 180 (ยาว) x 125 (กว้าง) x 30 (หนา) mm
- สีเทา สีเงิน สีทอง สีเขียว 

คุณลักษณะพิเศษ:
- สินค้าทำมาจาก Aluminium metal coating ผิวด้านเรียบ การออกแบบมีความเป็นพรีเมี่ยมมากขึ้น
- รองรับเทคโนโลยีการชาร์จ PD | QC 3.0 สูงสุด 20W 
- มีปุ่มกดที่ด้านข้างของเครื่อง กดเพื่อเช็คสถานะแบตเตอรี่คงเหลือได้     
- ไฟ LED แสดงสถานะการทำงานและปริมาณความจุของแบตเตอรี่สำรอง ซึ่งไฟสีเขียวจะแสดงต่อเมื่อระบบ Quick Charge/Fast Charge ทำงาน
- รองรับชาร์จเร็วสำหรับมือถือ Android และ iPhone ทุก series
- Output & Input เป็น Type C 20W (Max) เพิ่มความรวดเร็วในการชาร์จไฟเข้าโทรศัพท์มือถือได้มากขึ้น และชาร์จตัวแบตสำรองได้รวดเร็วขึ้น 2 เท่า
- ระบบความปลอดภัยป้องกันไฟกระชาก และตัดไฟอัตโนมัติเมื่อมีการจ่ายไฟบกพร่อง

ในกล่องประกอบไปด้วย:
- Power bank E14 PRO 20000 mAh
- ซองใส่ Power bank (ซองผ้า) & สายชาร์จ USB-A to Type-C
- คู่มือการใช้งาน",780,,,ฟรี,NO,can,can,can,
5,E  29,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 30000 mAh Li-Polymer battery
- Input (Micro) current: DC 5V - 2A & DC 9V - 2A
- Input (Type - C) current: DC 5V - 3A & DC 9V - 2A (PD + QC 3.0)
- Output (Type - C) current: DC 5 - 6V / 3A & DC 6 - 9V / 2A & DC 9 - 12V / 1.5A (PD + QC 3.0)
- Output (USB) current: DC 5 - 6V / 3A & DC 6 - 9V / 2A & DC 9 - 12V / 1.5A (QC 3.0)
- Output (USB) current: DC 5V / 2.4 A
- Standby time: >5,000 ชั่วโมง
- ระยะเวลาในการชาร์จ: 10 -15 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter ที่ใช้)
- น้ำหนัก 450 กรัม
- ขนาด: 164 (ยาว) x 86 (กว้าง) x 19 (หนา) mm
- สีดำ สีเทา

คุณลักษณะพิเศษ:
- ระบบการชาร์จได้มีการปรับปรุงให้มีประสิทธฺ์ภาพมากขึ้น รองรับ QuickCharge2.0 / 3.0 Fast Charge และ PD (Power Delivery) ของอุปกรณ์ Apple 
- วิธีการตรวจสอบปริมาณคงเหลือของแบตเตอรี กดปุ่มด้านข้างเพื่อตรวจสอบปริมาณไฟคงเหลือ ไฟ LED จะมี 5 ดวง: 
  1) ดวงที่ 1 แสดงสถานะตอนชาร์จไฟ ไฟจะมี 2 สี สีฟ้าแสดงถึงกำลังไฟ input / output ที่ 9V และสีเขียว Output ที่ 12 V และในกรณีที่ไม่มีไฟแสดงหมายความว่ากำลังไฟไม่อยู่ในเกณฑ์ quick charge เนื่องจาก มือถือ / สายชาร์จ / Adapter ไม่รองรับหรือชำรุด และไม่ควรชาร์จอุปกรณ์พร้อมกัน 2 เครื่อง ในกรณีที่ต้องการให้เป็นแบบ Quick charge   
  2) ดวงที่ 2-5 แสดงสถานะคงเหลือของปริมาณแบตเตอรี่ ดวงที่  2 (0-25%) ดวงที่ 3 (25-50%) ดวงที่ 4 (50-75%) ดวงที่ 5 (75-100%)
- ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน
- รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port
- จอ LED แสดงสถานะของพลังงานที่เหลืออยู่ และสามารถดูได้ในที่มืด
- ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS

ในกล่องประกอบไปด้วย:
- Power bank 30000 mAh
- สายชาร์จ  
- ซองใส่ Power bank & สายชาร์จ Type C 2.1A (ของแถมเพิ่มเติม)
- คู่มือการใช้งาน",955,,,ฟรี,NO,can,can,can,
6,E-30 ,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 5000 mAh Li-Polymer battery
- Input current: DC 5V - 1A 
- Output current: DC 5 / 1A
- Standby time: >5,000 ชั่วโมง
- ระยะเวลาในการชาร์จ: 3 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter ที่ใช้)
- น้ำหนัก 116 กรัม
- ขนาด: 118.5 (ยาว) x 68.5 (กว้าง) x 9.3 (หนา) mm
- สี ขาว / ดำ 

คุณลักษณะพิเศษ:
- ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน
- รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port
- จอ LED แสดงสถานะของพลังงานที่เหลืออยู่ และสามารถดูได้ในที่มืด
- ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS

ในกล่องประกอบไปด้วย:
- Power bank 5000 mAh
- สาย Micro USB cable
- ซองใส่ Power bank (ของแถมเพิ่มเติม)
- คู่มือการใช้งาน",189,,,ฟรี,บวกเพิ่ม 10,can ,can,no,
7,EW-31,,"ข้อมูลเชิงเทคนิค:
- ความจุแบตเตอรี: 10,000 mAh Li-Polymer battery
- Input current: DC 5V - 2A
- Output current 1 & 2: DC 5V / 2.1A
- Wireless Charging: 5W
- Standby time: >5,000 ชั่วโมง
- ระยะเวลาในการชาร์จ: 7 -9 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter ที่ใช้)
- น้ำหนัก 190 กรัม
- ขนาด: 134 (ยาว) x 73.5 (กว้าง) x 16 (หนา) mm
- สีแดง สีน้ำเงิน สีเทา สีดำ

คุณลักษณะพิเศษ:
- สามารถชาร์จมือถือที่รองรับการชาร์จแบบไร้สาย (Wireless) โดยการวางมือถือไว้ด้านบนของ Powerbank แล้วกดปุ่ม Power ที่เป็นเครื่องหมายบวก +
- มีหนังหุ้มรอบ Power bank เพิ่มความสวยหรู ดีไซด์สวยด้วยวัตถุที่แข็งแรงคงทน
- รองรับกับอุปกรณ์เครื่องใช้ไฟฟ้าที่ชาร์จไฟผ่าน USB Port
- จอ LED แสดงสถานะของพลังงานที่เหลืออยู่ และสามารถดูได้ในที่มืด
- ผ่านการผลิตที่เป็นมาตรฐานสากล CE / FCC / RoHS

ในกล่องประกอบไปด้วย:
- Power bank 10,000 mAh
- สาย Micro USB cable
- ซองใส่ Power bank (ของแถมเพิ่มเติม)
- คู่มือการใช้งาน",535,,,ฟรี ,บวกเพิ่ม 10 ,can,can,no,
9,EW35,,"ข้อมูลทางเทคนิค
- ความจุแบตเตอรี: 3.7V 10000 mAh (37Wh) Li-Polymer battery
- Total Output: 18W
- Wireless Charging: 5W / 7.5W / 10W (Max)
- Input (Micro) current: DC 5V / 2A & DC 9V / 2A
- Input (Type - C) current: DC 5V / 2.5A & DC 9V / 2A
- Output (USB - A) current: DC 5V / 3A & DC 9V / 2A & DC 12V / 1.5A
- Output (Type - C) current: DC 5V / 3A & DC 9V / 2A & DC 12V / 1.5A
- Input Interface: Micro-USB
- Power indicator: LED
- Operating environment: -10 ํc - 50 ํc
- ระยะเวลาในการชาร์จ: 3-4 ชั่วโมง (ขึ้นอยู่กับกำลังไฟของ Adapter ที่ใช้)
- น้ำหนัก 220 กรัม
- ขนาด: 101 (ยาว) x 66 (กว้าง) x 23 (หนา) mm
- สี น้ำเงิน / ดำ 

คุณสมบัติ
- แบตเตอรี่สำรองไร้สายความจุ 10,000 mAh ขนาดเล็ก น้ำหนักเบา พกพาสะดวก
- รองรับการรีชาร์จให้สมาร์ทโฟนและแท็บเล็ตผ่านพอร์ต USB,Type C สูงสุด 2.5A
- รองรับ Quick Charge 2.0/3.0 จ่ายไฟได้ตั้งแต่ 5V-12V สูงสุด 18W
- ช่องพอร์ต USB 1 ช่อง และ Type C 1 ช่อง และ Wireless สามารถรีชาร์จอุปกรณ์ได้พร้อมกัน 3 เครื่องในเวลาเดียวกัน
- มีไฟ Digital LED แสดงสถานะการทำงานและปริมาณความจุของแบตเตอรี่สำรองเป็นเปอร์เซนต์
- วัสดุหุ้มผ้า สีกรม ไม่เลอะง่าย สวยหรู ดูแพง
- ตรวจสอบปริมาณไฟคงเหลือโดยการกดปุ่ม Power ด้านข้าง
- ได้รับมาตรฐานสากล CE, FCC, RoHS

ในกล่องประกอบไปด้วย:
- แบตเตอรี่สำรอง Eloop (10,000 mAh) รุ่น EW35
- สายชาร์จ Type C
- ซองผ้า
- คู่มือการใช้งาน


",670,,,ฟรี ,บวกเพิ่ม 10,can,can,no,
