"ตารางราคาแก้วมัค  
อัพเดท 1/09/23
เคสไหนด่วน เพิ่มชิ้นละ20-30บาท สาเหตุที่เพิ่มเพราะบางทีไม่ทันต้องทำ OT ค่ะ",,,,,,,,,,,,,,
NO,รหัสสินค้า,รูปภาพ,รายละเอียด,จำนวน,,,บรรจุภัณฑ์,,,,รูปแบบโลโก้,,,ข้อจำกัด 
,,,,100-500,1000,1500,กล่องแป้งขาว,กล่องลูกฟูกสีขาว,ถุง OPP,ถุงผ้า,สกรีน,Print ,Uv print,
1,"MUG-02
ในไทย",,"รหัสสินค้า : Mug-02
ขั้นต่ำการผลิต : 100 ใบ
ระยะเวลาการผลิต : 7-10 วัน หลังสรุปแบบ
วัสดุ :  New bone
ขนาด : สูง10.8*ปาก 8.3*ก้น 5.5 ซม.
บรรจุภัณฑ์ : บรรจุกล่องขาว แบบเจาะหน้าต่าง 1:1",78,75,73,,,,,,,,
2,"MUG-05
สีขาว
มีสต็อค",,"รหัสสินค้า : Mug-05
ขั้นต่ำการผลิต : 100 ใบ
ระยะเวลาการผลิต : 7-10 วัน หลังสรุปแบบ
วัสดุ :  เนื้อ Stoneware (สีขาว)
ขนาด : สูง9.4*ปาก 8*ก้น 8 ซม.
บรรจุภัณฑ์ : บรรจุกล่องขาว แบบเจาะหน้าต่าง 1:1
*** สกรีนโลโก้  1 สี 1 จุด ",69,67,65,,,,,,,,
3,"MUG-05-B
สีดำ
ในไทย",,"รหัสสินค้า : Mug-05-B
ขั้นต่ำการผลิต : 100 ใบ
ระยะเวลาการผลิต : 7-10 วัน
วัสดุ :  เนื้อ Porcelain (สีดำ)
ขนาด : สูง9.4*ปาก 8*ก้น 8 ซม.
บรรจุภัณฑ์ : บรรจุกล่องขาว แบบเจาะหน้าต่าง 1:1

",79,75,73,,,,,,,,
4,"MUG-05
สีขาว
มีสต็อค",,"รหัสสินค้า : Mug-05
ขั้นต่ำการผลิต : 100 ใบ
ระยะเวลาการผลิต : 7-10 วัน หลังสรุปแบบ
วัสดุ :  เนื้อ Stoneware (สีขาว)
ขนาด : สูง9.4*ปาก 8*ก้น 8 ซม.
บรรจุภัณฑ์ : บรรจุกล่องขาว แบบเจาะหน้าต่าง 1:1
*** โลโก้ซับบลิเมชั่น ",79,77,75,,,,,,,,
5,"Mug-03 Black
blue green
มีสต็อค",,"รหัสสินค้า : Mug-03 Red
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต: 7-10 วัน
วัสดุ: เนื้อ Stoneware
ขนาด: สูง9.4*ปาก 8*ก้น 8 ซม
สี : สีเขียวอ่อน / สีเขียว / สีฟ้า / สีดำ / สีแดง
โลโก้ : Silk Screen / Sublimation Logo
บรรจุภัณฑ์ : บรรจุกล่องขาว แบบเจาะหน้าต่าง 1:1",79,75,70,,,,,,,,
6,"Mug-06
นำเข้า",,"รหัสสินค้า : Mug-06
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต:  15-20 วัน
วัสดุ: Ceramic Stoneware
ขนาด: สูง9.5ปาก8.2ก้น8.2 ซม
ปริมาตร : 11oz
สี : สีตามรูปภาพ
โลโก้ : Silk Screen / Sublimation Logo
บรรจุภัณฑ์ : บรรจุกล่องขาว แบบเจาะหน้าต่าง 1:1",75,73,70,,,,,,,,
7,"Mug-07
นำเข้า",,"รหัสสินค้า : Mug-07
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต:  15-20 วัน
วัสดุ: แก้ว
ขนาด: สูง9.7ปาก8.1ก้น8.1 ซม
ปริมาตร : 11oz
สี : สีตามรูปภาพ 
โลโก้ : Silk Screen / Sublimation Logo
บรรจุภัณฑ์ : บรรจุกล่องขาว แบบเจาะหน้าต่าง 1:1",79,75,70,,,,,,,,
8,"Mug-08
นำเข้า
ทำโลโก้ที่เรา",,"รหัสสินค้า : Mug-08
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ผลิต:  15-20 วัน
วัสดุ: Ceramic Stoneware
ขนาด: สูง9.5ปาก8.2ก้น8.2 ซม
ปริมาตร : 11oz
สี : สีตามรูปภาพ
โลโก้ : Silk Screen / Sublimation Logo
บรรจุภัณฑ์ : บรรจุกล่องขาว แบบเจาะหน้าต่าง 1：1",75,73,70,,,,,,,,
9,"Mug-09
นำเข้า
ทำโลโก้ที่เรา",,"รหัสสินค้า : Mug-09 (แก้วมัคกากเพชร)
จำนวนการผลิตขึ้นต่ำ: 100 ชิ้น
ฟรี : ออกแบบ
ระยะเวลา 20-25 วัน
ขนาด : สูง 9.5 cm ปาก 8 cm 
วัสดุ : Ceramic Stoneware
สี : สีตามรูป
โลโก้ : Sublimation Logo / สกรีน 
บรรจุภัณฑ์ : กล่องกระดาษลูกฟูกสีขาวไม่มีหน้าต่าง 1:1","Sublimation
75
สกรีน
85","Sublimation
73
สกรีน
83","Sublimation
70
สกรีน
80",,,,,,,,
10,"Mug-10
นำเข้า
ทำโลโก้ที่เรา",,"รหัส : Mug-10 
จำนวนผลิตขั้นต่ำ : 100 ชิ้น
ฟรี : ออกแบบ
ระยะเวลา : 20-25 วัน
ขนาด : สูง 8* ปาก 8.8 cm
วัสดุ : stainless steel 304
สี : ขาว
โลโก้ : Sublimation Logo
บรรจุภัณฑ์ : กล่องกระดาษลูกฟูกสีขาวไม่มีหน้าต่าง 1:1",85.-,80.-,75,,,,,,,,
11,"Mug-11
นำเข้า
ทำโลโก้ที่เรา",,"รหัส : Mug-11
จำนวนผลิตขั้นต่ำ : 100 ชิ้น
ฟรี : ออกแบบ
ระยะเวลา : 20-25 วัน
ขนาด : สูง 9.5 * ปาก 8 cm
วัสดุ : แก้ว
สี : ขาวขุ่น
โลโก้ : Sublimation Logo
บรรจุภัณฑ์ : กล่องกระดาษลูกฟูกสีขาวไม่มีหน้าต่าง 1:1",85.-,79.-,60,,,,,,,,
12,"Mug-12
นำเข้า
ทำโลโก้ที่เรา",,"จำนวนผลิตขั้นต่ำ : 100 ชิ้น
ฟรี : ออกแบบ
แก้วมัคเปลี่ยนสี (เมื่อเติมน้ำร้อนแก้วจะเป็นสีเป็นสีขาวขุ่นพร้อมแสดงโลโก้)
ระยะเวลา : 20-25 วัน
ขนาด : สูง 9.5*ปาก 8 cm
วัสดุ : แก้ว
สี : ดำ 
โลโก้ : Sublimation Logo
บรรจุภัณฑ์ : กล่องกระดาษลูกฟูกสีขาวไม่มีหน้าต่าง 1:1",85.-,79.-,70,,,,,,,,
