ตารางราคา Gift Set NoteBook,,,,,,,,,
NO,รหัสสินค้า,รูปภาพ,รายละเอียด,จำนวน,ราคา ,บรรจุภัณฑ์,รูปแบบโลโก้,ข้อจำกัด ,หมายเหตุ
,,,,,,,,,
,,,,,,,,,
1,SET DY-01,,"1.ขั่นต่ำ 50 ชิ้น 
2.ขนาดปก (A6)10*17.5 CM
3.จำนวนกระดาษ 100 แผ่น
4.ขนาดกระดาษ 9.3*17.2 CM 
5.กระดาษ 80 แกรม แบบถนอมสายตา",100-300 ชิ้น,115.-,กล่องกระดาษ,"1.บนสมุด สกรีน 1 สี 1 จุด
2.กล่อง สกรีน 1 สี 1 จุด  +5.-
3.ปากกาไม่สกรีนโลโก้ค่ะ
4.มีถุงกระดาษแถมให้ ฟรีค่ะ",,
,,,,301-500 ชิ้น,113.-,,,,
,,,,501-1000 ชิ้น,110.-,,,,
,,,,,,,,,
2,SET DY-02,,"1. ขั้นต่ำ 300 ชิ้น 
2.ขนาดปก( A5)14.8*21.1CM
3.จำนวนกระดาษ 100 แผ่น
4.ขนาดกระดาษ(A5)14.2*20.8 CM 
5. กระดาษ  80 แกรม แบบถนอมสายตา",300 ชิ้น,165.-,กล่องกระดาษ,"1.บนสมุด สกรีน 1 สี 1 จุด
2.กล่อง สกรีน 1 สี 1 จุด  +5.-
3.ปากกาไม่สกรีนโลโก้ค่ะ
4.มีถุงกระดาษแถมให้ ฟรีค่ะ",,
,,,,301-500 ชิ้น,165.-,,,,
,,,,501-1000 ชิ้น,159.-,,,,
,,,,,,,,,
2,SET DY-03,,"1. ขั้นต่ำ 300 ชิ้น 
2.ขนาดปก(B5) 17.0*22.5CM
3.จำนวนกระดาษ 100 แผ่น
4.ขนาดกระดาษ(A5) 14.2*20.8CM 
5. กระดาษ 80 แกรม แบบถนอมสายตา",300 ชิ้น,255.-,กล่องกระดาษ,"1.บนสมุด สกรีน 1 สี 1 จุด
2.กล่อง สกรีน 1 สี 1 จุด  +5.-
3.ปากกาไม่สกรีนโลโก้ค่ะ
4.มีถุงกระดาษแถมให้ ฟรีค่ะ
",,
,,,,301-500 ชิ้น,255.-,,,,
,,,,501-1000 ชิ้น,249.-,,,,
,,,,,,,,,
3,SET DY-04,,"1. ขั้นต่ำ 300 ชิ้น 
2.ขนาดปก(B5) 6.5*23.0 CM
3.จำนวนกระดาษ 100 แผ่น
4.ขนาดกระดาษ(A5)14.2*20.8CM 
5. กระดาษ  80 แกรม แบบถนอมสายตา",300 ชิ้น,235.-,กล่องกระดาษ,"1.บนสมุด สกรีน 1 สี 1 จุด
2.กล่อง สกรีน 1 สี 1 จุด  +5.-
3.ปากกาไม่สกรีนโลโก้ค่ะ
4.มีถุงกระดาษแถมให้ ฟรีค่ะ
",,
,,,,301-500 ชิ้น,235.-,,,,
,,,,501-1000 ชิ้น,230.-,,,,
,,,,,,,,,
