อัพเดจราคาวันที่  11/1/65เจล&สเปรย์,,,,,,,,,,,,,,,,
NO,รูปภาพ,รหัสสินค้า,รายละเอียด,จำนวน / ราคาแบบมีแอลกอฮอล์,,,,,จำนวน / ไม่มีแอลกอฮอล์,,,,ขนาดโลโก้ สกรีน,ขนาดโลโก้ สติกเกอร์,ข้อจำกัด ,หมายเหตุ
,,,,100 - 300,301 - 500,501 - 1000,1001 - 5000,5001 +,100 - 500,501 - 1000,1001 - 5000,5001 +,W x H  (mm),W x H  (mm),,
1,,SP-07,"ประเภท : ขวดสเปรย์
รหัสสินค้า ：SP-07 (40 ml)
ขนาด : กว้าง 5.8*สูง10.1cm
วัสดุ : ABS+Pet
ปริมาตร : 40 ML.
สี : สีขาว
การใช้งาน : บรรจุแอลกอฮอล์",39,38,37,35,ถามจัดซื้อ,25,22,20,ถามจัดซื้อ,"
43*56 ","
46*61 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
3 บาท 
* uv print เพิ่ม 5 บาท",
2,,SP-08,"ประเภท : ขวดสเปรย์
รหัสสินค้า ：SP-08 (20 ml)
ขนาด : กว้าง 5.5*สูง 8.4 cm
วัสดุ : พลาสติก PP 
ปริมาตร : 20 ML.
สี : สีขาว/ดำ/ใส
การใช้งาน : บรรจุแอลกอฮอล์",17,16,15,14,ถามจัดซื้อ,7,7,7,ถามจัดซื้อ," 
42*62 ","
47*78 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
3 บาท ",
3,,SC-01,"ประเภท : ขวดเจล
รหัสสินค้า :SC-02 (30 ml.)
ขนาด: ยาว5.5 Cm.ปากขวด 2.5 Cm.
ขนาดขวดเจล3.5Cm. ยาวทั้งหมด 17 Cm.
วัสดุ: ปลอกเจล ซิลิโคน
ขวด: PET
ปริมาตร/ความจุ: 30 ML.
สี: สีฟ้า สีเขียวมิ้นต์ สีเหลือง
การใช้งาน: บรรจุเจล",20,19,18,18,ถามจัดซื้อ,12,11,10,ถามจัดซื้อ," 
17*40 ","
22*47 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
4,,SC-03,"ประเภท : ขวดเจล
ขนาด: สูง 7.7 *กว้าง 3 CM
วัสดุ:พลาสติก
ความจุ: 30 ML.
สี:สีใส",18,17,16,15,ถามจัดซื้อ,6,5.5,5,ถามจัดซื้อ," 
17*40 ","
22*47 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
5,,SC-04 (50 ml),"ประเภท : ขวดเจล
ขนาด: Ø ปากขวด 20 mm*สูง 128 mm *กว้าง27 mm
วัสดุ:PETG
ความจุ: 50 ML.
สี:สีใส",18,17,16,15,ถามจัดซื้อ,9,8,7,ถามจัดซื้อ," 
26.8*43 "," 
30*48 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
6,,SP-01 (30 ml),"
รหัสสินค้า :SP-01
ขนาด :Ø ปากขวด 20 mm*สูง 78 mm *กว้าง29 mm
ปริมาตร/ความจุ: 30 ml
วัสดุ : PET
สี : สีใส
การใช้งาน : บรรจุแอลกอฮอล์
อายุการใช้งาน : เก็บรักษา 1-2 ปี

การบรรจุ : ถุง OPP
ระยะเวลาการผลิต : 3-5 วัน 
MOQ:ขั่นต่ำ 100 ชิ้น
รูปแบบโลโก้ : สกรีนโลโก้/สติกเกอร์",17,16,15,14,ถามจัดซื้อ,5,4.9,4.8,ถามจัดซื้อ,no,"
40*85 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
7,,SP-02 (50 ml),"ประเภท : ขวดสเปรย์
ขนาด :Ø ปากขวด 20 mm*สูง 88 mm *กว้าง33 mm
ปริมาตร/ความจุ: 50 ML.
วัสดุ : PET
สี : สีใส
การใช้งาน : บรรจุแอลกอฮอล์",18,17,16,15,ถามจัดซื้อ,6,5.2,5.5,ถามจัดซื้อ,no,"
55*90 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
8,,SP-03 (100 ml),"ประเภท : ขวดสเปรย์
ขนาด : Ø ปากขวด 20 mm*สูง 118 mm *กว้าง39 mm
ปริมาตร/ความจุ: 100 ML.
วัสดุ : PET
สี : สีใส
การใช้งาน : บรรจุแอลกอฮอล์",19,18,17,16,ถามจัดซื้อ,6.5,6.2,6,ถามจัดซื้อ,no,"
82*110 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
9,,SP-10 (50 ml),"ประเภท : ขวดสเปรย์
ขนาด: กว้าง 6*สูง 11 cm
วัสดุ : พลาสติกPP
ปริมาตร : 50 ML.
สี : สีใส
การใช้งาน : บรรจุแอลกอฮอล์",20,19,18,17,ถามจัดซื้อ,9,8.5,8,ถามจัดซื้อ,,"
47*37.9 ","* ถ้าเป็นสติกเกอร์
ใสบวกเพิ่ม ด้านละ
2 บาท ",
