"ตารางราคาปลั๊กไฟ
อัทเดท 23/5/2024
เคสไหนด่วน เพิ่มชิ้นละ20-30บาท สาเหตุที่เพิ่มเพราะบางทีไม่ทันต้องทำ OT ค่ะ",,,,,,,,,,,,
NO,รหัสสินค้า,รูปภาพ,รายละเอียด,จำนวน,,,บรรจุภัณฑ์,,รูปแบบโลโก้,,,ข้อจำกัด 
,,,,100-500,500-1000,1000 UP,"กล่อง
กระดาษ",ซองหนัง,สกรีน,Print,Uv print ,
1,UNP-01,,"สีมาตรฐาน : ขาว / ดำ
ขนาด: 62 x 54 x 70 mm.
รองรับ: US.EU.AUS.UK
วัสดุ :ABS,Copper
ช่อง : USB 2.0
ระยะเวลาการผลิต : 12 – 15 วัน",220.-,210.-,200.-,"สกรีนโลโก้บน
กล่องเพิ่ม 5 บาท ค่ะ","ไม่สกรีน
โลโก้","สูงไม่เกิน 36 mm.
กว้างไม่เกิน 30 mm. ",NO,"สูงไม่เกิน 36 mm.
กว้างไม่เกิน 30 mm. ",CN-001
,,,,,,,,,,,,
,,,,,,,,,,,,
2,UNP-02,,"ขั้นต่ำ 100 ชิ้น (Logoสกรีน)/ขั้นต่ำ 100 ชิ้น (UV Print)/ขั้นต่ำ 100 ชิ้น LOGO DTF
รายละเอียดสินค้า
ขนาด: 40*45*60cm
สีมาตรฐาน : ขาว / ดำ
รองรับ: US.EU.AUS.UK
วัสดุ :ABS,Copper
ช่อง : USB 2.0
แรงดันไฟฟ้า: AC110-240
ระยะเวลาการผลิต : 15 – 20 วัน
รับประกัน 1 ปี",220.-,215.-,210.-,"สกรีนโลโก้บน
กล่องเพิ่ม 5 บาท ค่ะ","ไม่สกรีน
โลโก้",,,,CN-001
3,UNP-03,,"ขั้นต่ำ 100 ชิ้น (Logoสกรีน) /ขั้นต่ำ 100 ชิ้น (UV Print)/ขั้นต่ำ 100 ชิ้น LOGO DTF
รายละเอียดสินค้า
ขนาด: :61x45x56mm
สีมาตรฐาน : ขาว
รองรับ: US.EU.AUS.UK
วัสดุ :ABS,Copper
ช่อง : USB 2.0
แรงดันไฟฟ้า: AC110-240
ระยะเวลาการผลิต : 15 – 20 วัน
รับประกัน 1 ปี",165.-,160.-,155.-,"สกรีนโลโก้บน
กล่องเพิ่ม 5 บาท ค่ะ","ไม่สกรีน
โลโก้",,,,CN-001
4,UNP-04,,"ขั้นต่ำ 300 ชิ้น (Logoสกรีน) / ขั้นต่ำ 500 ชิ้น (UV Print)
รายละเอียดสินค้า
สีมาตรฐาน : ตามแบบ
รองรับ: US.EU.AUS.UK
วัสดุ :ABS,Copper
ช่อง : USB 2.0
ระยะเวลาการผลิต : 15 – 20 วัน
รับประกัน 1 ปี",259,240,230,"สกรีนโลโก้บน
กล่องเพิ่ม 5 บาท ค่ะ","ไม่สกรีน
โลโก้","สูงไม่เกิน 21  mm.
กว้างไม่เกิน 50 mm. ",NO,"สูงไม่เกิน 21  mm.
กว้างไม่เกิน 50 mm. ",
,,,,,,,,,,,,
,,,,,,,,,,,,
5,UNP-05,,"ขั้นต่ำ 100 ชิ้น (Logoสกรีน) /ขั้นต่ำ 100 ชิ้น (UV Print)/ขั้นต่ำ 100 ชิ้น LOGO DTF
รายละเอียดสินค้า
***ตัวแปลงหัวปลั๊ก***
ขนาด: 50mm*56mm*40mm
สีมาตรฐาน : ขาว / ดำ
รองรับ: US.EU.AUS.UK
วัสดุ :ABS,Copper
แรงดันไฟฟ้า: 250V-3A
ระยะเวลาการผลิต : 15 – 20 วัน
รับประกัน 1 ปี",99.-,97.-,95.-,"สกรีนโลโก้บน
กล่องเพิ่ม 5 บาท ค่ะ","ไม่สกรีน
โลโก้",,,,CN-001
6,UNP-06,,"รหัสสินค้า ： UNP-06
ขั้นต่ำในการผลิต : 100    ชิ้น
ประเภทสินค้า :USB+Type C , PD20W
ขั้นต่ำในการผลิต : 100    ชิ้น
AC input : 100~250V/AC 50-60Hz
AC output : 6A Max.(660W/100V or 1440W/250V)
USB output : 5V 3V / 9V 2A / 12V 1.5A(QC 3.0 18W)
USB+Type C output : 5V 3V
ขนาดสินค้า : 7.8*4*4 CM.
น้ำหนัก : 90 g.
วัสดุ : ABS,Copper metal
สีมาตรฐาน : ขาว / ดำ
ระยะเวลาการผลิต : 15 – 20 วัน
รับประกัน 1 ปี
บรรจุภัณฑ์ : กล่องกระดาษขาว / ซองหนัง
Graphic Design : บริการวางแบบฟรี!",198,195,190,"สกรีนโลโก้บน
กล่องเพิ่ม 5 บาท ค่ะ","ไม่สกรีน
โลโก้",,,,CN-076
,,,,,,,,,,,,
,,,,,,,,,,,,
7,UNP-07,,"เริ่มผลิตขั้นต่ำเพียง 100 ชิ้น 
รายละเอียดสินค้า
สีมาตรฐาน : ตามแบบ
รองรับ: US.EU.AUS.UK
วัสดุ :ABS,Copper
ช่อง : USB 2.0
ระยะเวลาการผลิต : 15 – 20 วัน
รับประกัน 1 ปี",129,125,ถามจัดซื้อ,"ไม่สกรีน
โลโก้","ไม่สกรีน
โลโก้","สูงไม่เกิน 72  mm.
กว้างไม่เกิน 37 mm. 
(ด้านหน้าและด้านหลังเท่ากัน)",NO,NO,"ด้านข้างมุมเหลี่ยมเล็ก 
H สูงไม่เกิน 12 mm .
Wกว้างไม่เกิน 20 mm."
,,,,,,,,,,,,
,,,,,,,,,,,,
8,UNP-08,,"รหัสสินค้า ： UNP-08 
ขั้นต่ำในการผลิต : 100    ชิ้น
ประเภทสินค้า :Travel adapter with 3USB+TYPE C ,PD20W fast charger
Input:100~250V/0.8A Max 50/60Hz
Type C Output : 5V3A, 9V2.2A, 12V1.67A(Max 20W)
QC3.0 Output : 5V3A, 9V2A, 12V1.5A(Max 28W)
USB1+USB2 output : 5V2.4A(Max 12W)
Type C+USB1 : 5V3.6A
Type C+USB1+USB2+USB3 : 5V4A(Max 20W)
ขนาดสินค้า : 6.9*5.5*4.9 CM.
น้ำหนัก : 125 g.
วัสดุ : Fired PC + cooper metal
สีมาตรฐาน : ขาว / ดำ
ระยะเวลาการผลิต : 15 – 20 วัน
รับประกัน 1 ปี
บรรจุภัณฑ์ : กล่องกระดาษขาว / ซองหนัง
Graphic Design : บริการวางแบบฟรี!",349,345,340,"ไม่สกรีน
โลโก้","ไม่สกรีน
โลโก้",,NO,NO,CN-076
,,,,,,,,,,,,
,,,,,,,,,,,,
